Pos,Piloto y Equipo,Team,Finalizado,Mejor vuelta,Velocidad Máxima,Pit,Pts
1,F Breogán,01 Aston Martin F1 Team,0:37:20.368,0:58.877,368.63,2,25
2,S King,08 Alpine F1 Team,+ 0:00.613,0:58.953,370.00,2,18
3,F Man,O4 Williams Racing,+ 0:01.086,1:00.208,339.56,2,15
4,E Yalın,23 Red Bull Racing F1,+ 0:01.193,0:58.397,370.00,2,12
5,D Ramirez,12 Haas F1 Team,+ 0:01.215,0:58.794,370.00,2,10
6,D AnubisReve,06 McLaren Racing F1,+ 0:01.484,0:59.733,366.01,2,8
7,M Casillas,09 Haas F1 Team,+ 0:01.531,0:59.613,370.00,2,6
8,P Raposo,14 McLaren Racing F1,+ 0:02.663,0:59.091,370.00,2,4
9,C Pardo,18 Scudería Alpha Tauri,+ 0:03.009,0:58.817,370.00,2,2
10,D Garcia,17 Aston Martin F1 Team,+ 0:03.227,0:58.426,370.00,2,1
11,R Garcia,02 Mercedes AMG,+ 0:03.850,0:59.312,370.00,2,0
12,A Palou,16 Red Bull Racing F1,+ 0:04.023,0:58.566,370.00,2,0
13,D Bello,07 Scuderia Alpha Tauri,+ 0:04.266,0:58.544,351.27,2,0
14,P Supervaca,05 Scuderia Ferrari F1,+ 0:04.474,1:01.575,370.00,2,0
15,L Cox,28 Alpine F1 Team,+ 0:05.294,1:01.356,368.44,2,0
16,p ENORME,21 Aston Martin F1 Team,+ 0:05.842,0:59.751,370.00,2,0
17,M Williams,13 Alpine F1 Team,+ 0:08.001,0:59.333,370.00,2,0
18,L Anggakusuma,22 Mercedes AMG,+ 0:09.131,1:01.559,370.00,2,0
19,T Musho Betis,20 Williams Racing,+ 0:10.089,1:00.854,370.00,2,0
20,M Chandran,15 Alfa Romeo Racing,+ 0:30.644,0:57.983,370.00,2,0
21,A Mercurio,30 Williams Racing,+ 0:39.903,1:02.022,334.81,2,0
22,A Menarguez,alvarogoper4a345574,+ 0:58.228,1:03.723,370.00,3,0
23,R Fabbri,10 Alfa Romeo Racing,+1 lap,1:03.035,363.38,2,0
24,M Soler,19 Mercedes AMG,+1 lap,1:04.164,370.00,2,0
25,H graty,11 Scuderia Ferrari F1,+1 lap,1:03.805,354.47,1,0
26,H Chandran,24 Scudería Ferrari F1,+1 lap,1:03.724,370.00,2,0
27,E Thomas,Vallekas F1 vk,+1 lap,1:05.364,370.00,2,0
28,J Alonso,dome fran,+1 lap,1:05.697,370.00,2,0
29,O Leroy,Woottola,+1 lap,1:06.126,370.00,2,0
30,L Hunt,29 McLaren Racing F1,Suspensión,1:07.448,370.00,1,0
31,A Güller,03 Red Bull Racing F1,Combustible,1:57.553,277.80,1,0
32,K RÄIKKÖNEN,CS Universitatea Craiova Racing,Combustible,0:00.000,164.79,0,0
